,CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU
0,GrLivArea,1stFlrSF,OverallQual,OverallQual,FireplaceQu,MSSubClass,GrLivArea,GrLivArea,HouseStyle_1Story,GarageType,GrLivArea,GrLivArea,GarageArea,CentralAir,LotArea,TotalBsmtSF,TotalBsmtSF,TotalBsmtSF,YearRemodAdd,BsmtQual,OpenPorchSF,1stFlrSF,HeatingQC,2ndFlrSF
1,FullBath,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,LotArea,YearBuilt,Heating_Grav,GrLivArea,FireplaceQu,OverallQual,OverallQual,YearRemodAdd,1stFlrSF,FireplaceQu,GrLivArea,YearRemodAdd,2ndFlrSF,MasVnrType_None,LotArea,YrSold,TotalBsmtSF,MasVnrArea,BedroomAbvGr
2,OverallQual,OverallCond,GrLivArea,1stFlrSF,TotalBsmtSF,GrLivArea,YearRemodAdd,OverallQual,TotalBsmtSF,1stFlrSF,LotArea,YearRemodAdd,YearBuilt,OverallQual,GarageFinish,YearBuilt,YrSold,GrLivArea,MasVnrArea,TotalBsmtSF,MoSold,BsmtExposure,OpenPorchSF,OverallQual
3,GarageArea,FullBath,YearRemodAdd,TotalBsmtSF,YearBuilt,BsmtFinSF1,FireplaceQu,LotArea,PavedDrive,TotRmsAbvGrd,BsmtFinSF1,BsmtFinSF1,GrLivArea,MSZoning,Fireplaces,ExterCond,GrLivArea,BsmtFinType1,LotArea,WoodDeckSF,BsmtUnfSF,GarageArea,YrSold,TotalBsmtSF
4,MasVnrType_Stone,Exterior1st_Plywood,LotFrontage,BsmtFinSF1,LotArea,TotalBsmtSF,OverallCond,GarageArea,LotArea,WoodDeckSF,TotRmsAbvGrd,FireplaceQu,FullBath,Exterior2nd_MetalSd,GrLivArea,FullBath,GarageArea,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,GarageYrBlt,BsmtFinSF1,MoSold,Condition1_Norm
5,MasVnrArea,BsmtUnfSF,LandSlope,GarageArea,MSSubClass,BsmtUnfSF,OverallQual,1stFlrSF,GarageCars,GarageArea,BsmtExposure,TotalBsmtSF,OverallQual,2ndFlrSF,BsmtFinType1,YearRemodAdd,MasVnrArea,YearBuilt,BldgType_TwnhsE,GrLivArea,BsmtFinSF1,YrSold,Exterior2nd_HdBoard,PavedDrive
6,BsmtFinSF1,BsmtFullBath,TotalBsmtSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,BldgType_Duplex,Fireplaces,1stFlrSF,YearBuilt,GarageArea,LotFrontage,LotArea,LotArea,MoSold,GarageType,1stFlrSF,BsmtFinSF1,GarageArea,YrSold,TotalBsmtSF,LotArea,SaleCondition,TotRmsAbvGrd
7,YearBuilt,BedroomAbvGr,BsmtFinSF1,MasVnrArea,BsmtFinType1,KitchenQual,GarageArea,FireplaceQu,OverallQual,BsmtFinSF1,BsmtQual,GarageArea,OverallCond,LotFrontage,OverallQual,CentralAir,BsmtFinSF2,MasVnrArea,TotRmsAbvGrd,TotRmsAbvGrd,ScreenPorch,KitchenQual,BsmtUnfSF,EnclosedPorch
8,TotRmsAbvGrd,KitchenQual,BsmtUnfSF,OpenPorchSF,BsmtQual,1stFlrSF,BsmtFullBath,OverallCond,TotRmsAbvGrd,GarageFinish,1stFlrSF,HeatingQC,PavedDrive,TotalBsmtSF,1stFlrSF,BsmtCond,2ndFlrSF,WoodDeckSF,GrLivArea,Exterior1st_Plywood,1stFlrSF,OverallQual,WoodDeckSF,HeatingQC
9,BsmtQual,ScreenPorch,Fence,YearRemodAdd,Fireplaces,GarageArea,KitchenAbvGr,TotalBsmtSF,LotFrontage,Exterior1st_HdBoard,ExterQual,BsmtExposure,Condition1_Norm,GrLivArea,BsmtFinSF1,KitchenQual,Foundation_PConc,GarageArea,1stFlrSF,FireplaceQu,MSSubClass,OpenPorchSF,GrLivArea,HouseStyle_1Story
10,BsmtFullBath,BsmtFinSF1,OpenPorchSF,BsmtUnfSF,BsmtUnfSF,OpenPorchSF,SaleType_WD,2ndFlrSF,MSZoning,BsmtFinType1,YearRemodAdd,LotArea,TotalBsmtSF,OverallCond,WoodDeckSF,OverallCond,OverallQual,OverallQual,OverallQual,BsmtFinType1,LotArea,GrLivArea,LotArea,MSSubClass
11,2ndFlrSF,Exterior2nd_Wd Shng,GarageCond,FireplaceQu,LotFrontage,MasVnrType_Stone,Fireplaces,Exterior2nd_Wd Sdng,LandSlope,BsmtExposure,OpenPorchSF,MasVnrArea,EnclosedPorch,BsmtFinSF1,GarageArea,LotArea,BsmtFinType2,TotRmsAbvGrd,SaleType_New,LotFrontage,SaleCondition,MasVnrType_None,1stFlrSF,LandContour_Lvl
12,OpenPorchSF,Exterior2nd_Plywood,HeatingQC,LotArea,YearRemodAdd,OverallQual,GarageFinish,BsmtFinSF1,OverallCond,BsmtFullBath,MasVnrArea,GarageFinish,BsmtQual,Condition1_Norm,FullBath,GarageArea,BsmtQual,KitchenQual,LandContour_Low,BsmtExposure,LotFrontage,WoodDeckSF,BsmtCond,GrLivArea
